Stock_Number,Deletion,Rxn_Norm,Chromosome,Background,Block,Numeric_Phenotype,Deletion_Set,Gene
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,17,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,17,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,17,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,17,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,17,4,DrosDel,Dll
6236,CONTROL,sd[E3],2L,ORE,1,5,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,5,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,5,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,5,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,5,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,5,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,1,3,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,3,5,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,3,5,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,3,5,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,ORE,3,4,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
6236,CONTROL,sd[E3],2L,SAM,1,7,Exelixis,wg
